HER21	HER21_R1.fastq.gz	HER21_R2.fastq.gz
HER22	HER22_R1.fastq.gz	HER22_R2.fastq.gz
HER23	HER23_R1.fastq.gz	HER23_R2.fastq.gz
NonTNBC1	NonTNBC1_R1.fastq.gz	NonTNBC1_R2.fastq.gz
NonTNBC2	NonTNBC2_R1.fastq.gz	NonTNBC2_R2.fastq.gz
NonTNBC3	NonTNBC3_R1.fastq.gz	NonTNBC3_R2.fastq.gz
Normal1	Normal1_R1.fastq.gz	Normal1_R2.fastq.gz
Normal2	Normal2_R1.fastq.gz	Normal2_R2.fastq.gz
Normal3	Normal3_R1.fastq.gz	Normal3_R2.fastq.gz
TNBC1	TNBC1_R1.fastq.gz	TNBC1_R2.fastq.gz
TNBC2	TNBC2_R1.fastq.gz	TNBC2_R2.fastq.gz
TNBC3	TNBC3_R1.fastq.gz	TNBC3_R2.fastq.gz
